dt_venda,cd_empresa,cd_mercadoria,qt_vendida
2018-09-01,1,126686,167
2018-10-01,1,126686,258
2018-11-01,1,126686,14
2016-01-01,1,126709,159
2016-02-01,1,126709,144
2016-03-01,1,126709,135
2016-04-01,1,126709,65
2016-05-01,1,126709,114
2016-06-01,1,126709,130
2016-07-01,1,126709,65
2016-08-01,1,126709,57
2016-11-01,1,126709,115
2016-12-01,1,126709,79
2017-01-01,1,126709,52
2017-02-01,1,126709,44
2017-03-01,1,126709,136
2017-04-01,1,126709,46
2017-05-01,1,126709,65
2017-06-01,1,126709,23
2017-07-01,1,126709,48
2017-08-01,1,126709,41
2017-09-01,1,126709,46
2017-10-01,1,126709,46
2017-11-01,1,126709,74
2017-12-01,1,126709,46
2018-01-01,1,126709,72
2018-02-01,1,126709,61
2018-03-01,1,126709,144
2018-04-01,1,126709,0
2018-05-01,1,126709,0
2018-06-01,1,126709,252
2018-07-01,1,126709,330
2018-08-01,1,126709,444
2018-09-01,1,126709,156
2018-10-01,1,126709,83
2018-11-01,1,126709,2
2016-01-01,1,126717,130
2016-02-01,1,126717,544
2016-03-01,1,126717,1404
2016-04-01,1,126717,220
2016-05-01,1,126717,724
2016-06-01,1,126717,575
2016-07-01,1,126717,622
2016-08-01,1,126717,396
2016-11-01,1,126717,1067
2016-12-01,1,126717,599
2017-01-01,1,126717,280
2017-02-01,1,126717,487
2017-03-01,1,126717,1133
2017-04-01,1,126717,454
2017-05-01,1,126717,791
2017-06-01,1,126717,855
2017-07-01,1,126717,528
2017-08-01,1,126717,1403
2017-09-01,1,126717,901
2017-10-01,1,126717,579
2017-11-01,1,126717,738
2017-12-01,1,126717,504
2018-01-01,1,126717,520
2018-02-01,1,126717,496
2018-03-01,1,126717,1235
2018-04-01,1,126717,612
2018-05-01,1,126717,551
2018-06-01,1,126717,275
2018-07-01,1,126717,390
2018-08-01,1,126717,418
2018-09-01,1,126717,525
2018-10-01,1,126717,472
2018-11-01,1,126717,44
2016-01-01,1,126725,488
2016-02-01,1,126725,626
2016-03-01,1,126725,1138
2016-04-01,1,126725,646
2016-05-01,1,126725,2605
2016-06-01,1,126725,2403
2016-07-01,1,126725,5213
2016-08-01,1,126725,3348
2016-11-01,1,126725,10016
2016-12-01,1,126725,4780
2017-01-01,1,126725,946
2017-02-01,1,126725,5648
2017-03-01,1,126725,8219
2017-04-01,1,126725,8460
2017-05-01,1,126725,8063
2017-06-01,1,126725,10383
2017-07-01,1,126725,5353
2017-08-01,1,126725,6113
2017-09-01,1,126725,4153
2017-10-01,1,126725,3018
2017-11-01,1,126725,9995
2017-12-01,1,126725,6004
2018-01-01,1,126725,1984
2018-02-01,1,126725,3825
2018-03-01,1,126725,8106
2018-04-01,1,126725,3196
2018-05-01,1,126725,4719
2018-06-01,1,126725,9020
2018-07-01,1,126725,5320
2018-08-01,1,126725,7797
2018-09-01,1,126725,4071
2018-10-01,1,126725,919
2018-11-01,1,126725,374
2016-01-01,1,126733,75
2016-02-01,1,126733,106
2016-03-01,1,126733,409
2016-04-01,1,126733,212
2016-05-01,1,126733,509
2016-06-01,1,126733,396
2016-07-01,1,126733,546
2016-08-01,1,126733,411
2016-11-01,1,126733,592
2016-12-01,1,126733,482
2017-01-01,1,126733,276
2017-02-01,1,126733,392
2017-03-01,1,126733,1354
2017-04-01,1,126733,533
2017-05-01,1,126733,827
2017-06-01,1,126733,564
2017-07-01,1,126733,877
2017-08-01,1,126733,914
2017-09-01,1,126733,500
2017-10-01,1,126733,842
2017-11-01,1,126733,1322
2017-12-01,1,126733,323
2018-01-01,1,126733,0
2018-02-01,1,126733,319
2018-03-01,1,126733,419
2018-04-01,1,126733,475
2018-05-01,1,126733,727
2018-06-01,1,126733,533
2018-07-01,1,126733,685
2018-08-01,1,126733,508
2018-09-01,1,126733,394
2018-10-01,1,126733,976
2018-11-01,1,126733,6
2016-01-01,1,127941,96
2016-02-01,1,127941,183
2016-03-01,1,127941,293
2016-04-01,1,127941,147
2016-05-01,1,127941,138
2016-06-01,1,127941,126
2016-07-01,1,127941,98
2016-08-01,1,127941,124
2016-11-01,1,127941,111
2016-12-01,1,127941,148
2017-01-01,1,127941,96
2017-02-01,1,127941,64
2017-03-01,1,127941,156
2017-04-01,1,127941,130
2017-05-01,1,127941,88
2017-06-01,1,127941,116
2017-07-01,1,127941,129
2017-08-01,1,127941,145
2017-09-01,1,127941,68
2017-10-01,1,127941,83
2017-11-01,1,127941,88
2017-12-01,1,127941,90
2018-01-01,1,127941,94
2018-02-01,1,127941,89
2018-03-01,1,127941,89
2018-04-01,1,127941,108
2018-05-01,1,127941,129
2018-06-01,1,127941,111
2018-07-01,1,127941,148
2018-08-01,1,127941,81
2018-09-01,1,127941,95
2018-10-01,1,127941,88
2018-11-01,1,127941,25
2016-01-01,1,127959,64
2016-02-01,1,127959,133
2016-03-01,1,127959,5
2016-04-01,1,127959,144
2016-05-01,1,127959,528
2016-06-01,1,127959,0
2016-07-01,1,127959,0
2016-08-01,1,127959,480
2016-11-01,1,127959,116
2016-12-01,1,127959,92
2017-01-01,1,127959,246
2017-02-01,1,127959,198
2017-03-01,1,127959,217
2017-04-01,1,127959,377
